기준년도,노드id,노드위치,y좌표,x좌표,노드유형,노드명,위험운전행동회귀계수,교차로규모회귀계수,회귀확산도,교차로위험수준,교차로위험순위,교차로안전등급,교차로참조집단위험수준,권역교차로위험순위,20km이상과속카운트,40km이상과속카운트,60km이상과속카운트,장기과속카운트,급가속카운트,급출발카운트,급감속카운트,급정지카운트,급좌회전카운트,급우회전카운트,급유턴카운트,급앞지르기카운트,급진로변경카운트,공회전기준시간초과카운트,사고카운트
2018,1050011900,서울특별시 동대문구,205370.2606,452583.1741,101,답십리2파출소,0.424729206,0.57107048,0.560021374,-0.548997996,17704,B,1.548997996,84,10.8,1,0.4,0,910.7,106.4,53.2,101.8,18,10.8,2.8,85.9,255.3,2.6,1
2018,1100031200,서울특별시 노원구,205375.9036,460592.8678,101,서울시립상계직업전문학교,0.424729206,0.57107048,0.560021374,-1.017145093,9073,A,1.017145093,53,35.6,0.7,0,0,317.2,17.3,67.6,9.9,11.7,9.5,0.8,30.8,112.7,0.9,
2018,1100010000,서울특별시 노원구,205386.9102,462824.3689,101,청원초등학교,0.424729206,0.57107048,0.560021374,-1.20047395,7083,A,1.20047395,111,157.9,4.6,0,0,505.3,102.4,38.6,17.1,35.2,31.6,1.9,36.3,52.7,0.9,
2018,1100005000,서울특별시 노원구,205394.7358,459101.1403,101,월계4동사무소앞,0.424729206,0.57107048,0.560021374,2.585263746,75488,C,4.414736254,206,327.3,27.3,0.9,0,5306.7,779.8,241.2,89.3,183.7,63.4,10.8,192.2,248.2,31.2,7
2018,1030028200,서울특별시 성동구,205399.2505,451381.6916,101,용답동우체국,0.424729206,0.57107048,0.560021374,-1.112540372,7953,B,4.112540372,103,480.9,63.2,5.9,0,3583.8,427.3,668.4,962.6,58.8,68.1,25.3,170.6,391.1,95.4,3
2018,1100038000,서울특별시 노원구,205405.0631,461652.2157,101,노원역_노해길_진출_1,0.424729206,0.57107048,0.560021374,0.352545643,61265,C,1.647454357,188,9.9,0.5,0.1,0,1484.2,294.3,50.6,11.2,56.1,48.3,15.6,54.8,60.3,21.1,2
2018,1100037900,서울특별시 노원구,205407.8672,461636.5074,101,노원역_노해길_진입_1,0.424729206,0.57107048,0.560021374,0.22816085,59947,C,0.77183915,192,3.6,0,0,0,262.5,43.8,23.8,4.2,81.2,21.8,3.3,41.7,48,4.3,1
2018,1070026000,서울특별시 성북구,205408.0838,456355.5267,101,석관동제일은행,0.424729206,0.57107048,0.560021374,2.065344157,74289,D,1.934655843,234,10.3,0.1,0.1,0,1173.9,194.3,105.8,17.8,79.5,55.7,12,283.3,832.4,15.8,4
2018,1100035100,서울특별시 노원구,205416.7058,461317.0221,101,상계주공아파트6단지,0.424729206,0.57107048,0.560021374,-1.198324307,7111,B,4.198324307,153,254.2,21.5,0.8,0,4972.3,691.2,180.6,46.8,321.3,114.8,36.1,475.3,288.3,5.8,3
2018,1100042700,서울특별시 노원구,205446.4241,462357.0372,101,상계10동우체국,0.424729206,0.57107048,0.560021374,3.463558359,76801,D,2.536441641,324,53.2,3,0.2,0,2028.4,267.9,98.3,37.6,34.7,34.2,2.3,139.5,128.1,3.3,6
2018,1100030300,서울특별시 노원구,205467.4116,460500.2813,101,중계그린아파트101동앞,0.424729206,0.57107048,0.560021374,0.177194831,59456,C,0.822805169,179,3,0,0,0,399.8,51.6,21.4,6.4,2.5,3,0.7,18.6,13.8,2.8,1
2018,1100022900,서울특별시 노원구,205472.5896,459169.2948,101,미들길-월계로진입로,0.424729206,0.57107048,0.560021374,-0.644864385,15332,B,1.644864385,117,137,5.3,2,0,1106,105.9,284.6,41.9,4.7,104.5,0.9,44,140.3,2.8,1
